Target,Model,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,macro_roc_auc,macro_pr_auc,weighted_roc_auc,weighted_pr_auc,Setting
anxiety,Reformer,0.7222,0.6215,0.6929,0.6174,0.6897,0.7079,0.7222,0.7331,0.6055,0.7331,0.6055,classification_anx_cls_wobg_clip_seq256_enc64_lr0.0002_Reformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
anxiety,PatchTST,0.7222,0.6442,0.6827,0.6363,0.7024,0.7062,0.7222,0.6379,0.4669,0.6379,0.4669,classification_anx_cls_src_clip_seq1024_enc256_lr0.0002_PatchTST_Mental_ftsrc_clip_sl1024_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq1024_src_clip_lr0.0002_0
anxiety,Transformer,0.7063,0.6589,0.6627,0.6561,0.7033,0.7011,0.7063,0.7059,0.4754,0.7059,0.4754,classification_anx_cls_wobg_clip_seq256_enc64_lr0.0002_Transformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
anxiety,iTransformer,0.7063,0.5906,0.6667,0.593,0.6666,0.6861,0.7063,0.6353,0.4838,0.6353,0.4838,classification_anx_cls_wobg_clip_seq256_enc64_lr0.0002_iTransformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm2048_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
anxiety,Pyraformer,0.6984,0.5259,0.6838,0.5555,0.6258,0.6897,0.6984,0.728,0.5614,0.728,0.5614,classification_anx_cls_wobg_clip_seq256_enc64_lr0.0002_Pyraformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
anxiety,PatchTST,0.6984,0.4768,0.8455,0.5366,0.5957,0.7916,0.6984,0.5007,0.4058,0.5007,0.4058,classification_anx_cls_wobg_clip_seq256_enc64_lr0.0002_PatchTST_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
anxiety,DLinear,0.6905,0.6646,0.6613,0.6759,0.6971,0.7107,0.6905,0.7016,0.4971,0.7016,0.4971,classification_anx_cls_wobg_clip_seq256_enc64_lr0.0002_DLinear_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
anxiety,FiLM,0.6905,0.5685,0.6343,0.5749,0.6486,0.6617,0.6905,0.6522,0.4502,0.6522,0.4502,classification_anx_cls_wobg_clip_seq256_enc64_lr0.0002_FiLM_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
anxiety,Autoformer,0.6905,0.49,0.6792,0.537,0.6017,0.6835,0.6905,0.544,0.3889,0.544,0.3889,classification_anx_cls_wobg_clip_seq256_enc64_lr0.0002_Autoformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
anxiety,Informer,0.6905,0.5341,0.6425,0.556,0.6283,0.6632,0.6905,0.695,0.4907,0.695,0.4907,classification_anx_cls_wobg_clip_seq256_enc64_lr0.0002_Informer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
